Service #1 |  Amtrak Northeast Regional #95 (Boston - Providence) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence Timetable\ACS-64 V AMTK50\train_01\service_001
Service #1 | DUPLICATE | Amtrak Northeast Regional #95 (Boston - Providence) 06:09 00:42
Service #1 | NO HIGHLIGHT |  Amtrak Northeast Regional #95 (Boston - Providence)
Service #2 | NO HIGHLIGHT |  Amtrak Northeast Regional #66 (Providence - Boston)
Service #3 | NO HIGHLIGHT |  Amtrak Northeast Regional #171 (Boston - Providence)
Service #4 | NO HIGHLIGHT |  Amtrak Northeast Regional #66 (Boston - Depot)
Service #5 | NO HIGHLIGHT |  Amtrak Northeast Regional #93 (Boston - Providence)
Service #6 | NO HIGHLIGHT |  Amtrak Northeast Regional #190 (Providence - Boston)
Service #7 | NO HIGHLIGHT |  Amtrak Northeast Regional #173 (Boston - Providence)
Service #8 | NO HIGHLIGHT |  Amtrak Northeast Regional #190 (Boston - Depot)
Service #9 | NO HIGHLIGHT |  Amtrak Northeast Regional #170 (Providence - Boston)
Service #10 | NO HIGHLIGHT |  Amtrak Northeast Regional #170 (Boston - Depot)
Service #11 | NO HIGHLIGHT |  Amtrak Northeast Regional #172 (Providence - Boston)
Service #12 | NO HIGHLIGHT |  Amtrak Northeast Regional #175 (Boston - Providence)
Service #13 | NO HIGHLIGHT |  Amtrak Northeast Regional #172 (Boston - Depot)
Service #14 | NO HIGHLIGHT |  Amtrak Northeast Regional #86 (Providence - Boston)
Service #15 | NO HIGHLIGHT |  Amtrak Northeast Regional #86 (Boston - Depot)
Service #16 | NO HIGHLIGHT |  Amtrak Northeast Regional #174 (Providence - Boston)
Service #17 | NO HIGHLIGHT |  Amtrak Northeast Regional #177 (Boston - Providence)
Service #18 | NO HIGHLIGHT |  Amtrak Northeast Regional #179 (Boston - Providence)
Service #19 | NO HIGHLIGHT |  Amtrak Northeast Regional #174 (Boston - Depot)
Service #20 | NO HIGHLIGHT |  Amtrak Northeast Regional #176 (Providence - Boston)
Service #21 | NO HIGHLIGHT |  Amtrak Northeast Regional #176 (Boston - Southampto)
Service #22 | NO HIGHLIGHT |  Amtrak Lake Shore Limited (Boston - Depot)
Service #23 | NO HIGHLIGHT |  Amtrak Northeast Regional #94 (Providence - Boston)
Service #24 | NO HIGHLIGHT |  Amtrak Northeast Regional #94 (Boston - Depot)
